"category","description","discord","guide","megaMafia","name","native","telegram","testnet","twitter","website"
"NFT","NFT collection","","","false","Mega Babe","true","","false","MegaBabe_NFT",""
"Infrastructure","Name Service (.mega)","","","false","Mega Names","true","","false","mega_names",""
"AI","AI agents for predictive markets and DeFi.","","","false","MAI","true","","false","MaiProtocol","https://maiprotocol.com/"
"Infrastructure","A cross-chain crypto payment gateway.","https://discord.gg/yxBKgf8gBn","","false","Chainbills","false","","false","chainbills_xyz","https://chainbills.xyz/"
"DeFi","An options trading platform.","https://discord.gg/stryke","","false","Stryke","false","https://t.me/stryke_xyz","false","stryke_xyz","https://www.stryke.xyz/"
"AI","A Peer-to-Peer Autonomous Agent Protocol.","","","false","3700 (Eternal AI)","false","","false","CryptoEternalAI","https://eternalai.org/"
"DeFi","Trade any token on any chain from one bot.","https://discord.gg/gundotfun","","false","Shogun","false","https://t.me/shogunoakmont","false","gundotfun","https://www.gun.fun/"
"Infrastructure","Aggregation infra for DEXs, LSTs and chains.","https://discord.gg/HQ4dd4namX","","false","Magpie Protocol","false","https://t.me/magpieprotocol","false","magpieprotocol","https://www.magpiefi.xyz/"
"DeFi","Peer to pool, oracleless, permissionless lending protocol.","https://discord.gg/pQu52Dtw7r","","false","Ajna","false","","false","ajnafi","https://www.ajna.finance/"
"DeFi","BTC wrapper for DeFi composability.","https://discord.gg/threshold","","false","tBTC","false","https://t.me/thresholdnetwork","false","tBTC_project","https://threshold.network/"
"DeFi","A yield aggregator and optimizer.","https://discord.gg/FnZ6FBghnQ","","false","Yelay","false","","false","YieldLayer","https://www.yelay.io/"
"DeFi","A yield aggregator and optimizer.","https://discord.gg/cxyMPFQrvt","","false","PERQ","false","https://t.me/perqfi","false","PERQ_FI","https://perq.finance/"
"Infrastructure","All-in-one Notion-like platform for Web3 research & development.","","","false","Wysdom","false","","false","WysdomXyz","https://wysdom.xyz/"
"DeFi","Liquidity Management Protocol for LPDfi.","https://discord.gg/mNT399UnSd","","false","Orange Finance","false","","false","0xOrangeFinance","https://www.orangefinance.io/"
"Infrastructure","Infrastructure, tools and APIs for a simpler Web3.","","","false","Blockend","false","","false","blockendlabs","https://www.blockend.com/"
"Gaming","PvP Web3 games.","https://discord.gg/W4BdM6N8xb","","false","XR One","false","https://t.me/XROne_chat","false","XR_Foundation","https://xrone.network/"
"DeFi","Exotic DeFi strategies and v3 ALMs.","https://discord.gg/jonesdao","","false","Jones DAO","false","","false","JonesDAO_io","https://www.jonesdao.io/"
"Infrastructure","Fast and decentralized cross chain transactions.","https://discord.gg/lanca","","false","Lanca","false","","false","lanca_io","https://lanca.io/"
"DeFi","A platform for creation of permissionless onchain structured products.","https://discord.gg/mellow","","false","Mellow","false","","false","mellowprotocol","https://mellow.finance/"
"DeFi","The personal finance app to passively earn yield.","https://discord.gg/HFBrzEZTch","","false","PistachioFi","false","https://t.me/pistachiowallet","false","PistachioFi","https://www.pistachio.fi/"
"DeFi","A permissionless credit layer app.","https://discord.gg/gearbox","","false","Gearbox Protocol","false","https://t.me/GearboxProtocol","true","GearboxProtocol","https://gearbox.fi/"
"DeFi","Lending for spending.","","","false","Kaiju Finance","true","https://t.me/kaijulair","false","kaijufinance","https://www.kaiju.fi/"
"Infrastructure","The unified Web3 Experience Hub.","https://discord.gg/3BfKMkXN5R","true","false","Sirio","false","https://t.me/sirioapp","true","SirioApp","https://www.sirio.gg/"
"DeFi","A 100% onchain decentralized credit economy.","https://discord.gg/XkYjDGVwJQ","","false","Zeru","false","https://t.me/zerufinancediscussions","false","zerufinance","https://zeru.finance/"
"Gaming","Play fun games, high stakes high payouts, zero downside.","","","false","Jackpot","true","","false","jackpot_game_",""
"DeFi","Friendly Liquity fork on MegaETH.","","","false","Summerstone","true","","false","summerstonexyz","https://summerstone.xyz/"
"NFT","A launchpad and marketplace for NFTs.","","","false","Rarible","false","","false","rarible","https://testnet.rarible.fun/"
"Meme","Memecoin launcher.","","true","false","XL","false","","true","xldotfun","https://xl.fun/"
"Community","The website you are browsing right now kek.","","","false","Fluffle Tools xultra.fun","true","","false","0x_ultra","https://fluffle.tools/"
"Infrastructure","Oracle provider for on-chain data.","https://discord.gg/storkoracle","","false","Stork","false","","false","storkoracle","https://www.stork.network/"
"Community","Check out the latest news on MegaETH.","","","false","MegaETH Times","true","","false","hyeon__dev","https://www.megaeth-times.com/"
"NFT","Your favourite NFT Hub.","https://discord.gg/hjpaFNGGvz","","false","ShinyEX","true","","false","ShinyEX_","https://shinyex.xyz/"
"Gaming","An open source, multichain layer for immersive games and experiences.","https://discord.gg/TGtyTEWB2X","","false","Hyperfy","false","","false","hyperfy_io","https://hyperfy.io/"
"NFT","A free mint NFT collection.","","","false","Meganacci","true","","false","meganacci",""
"DeFi","Liquid, tradeable debt markets to borrow and lend against any tokenized asset.","https://discord.gg/uRdRKdaUbk","","false","Covenant","false","","false","covenantFi","https://covenant.finance/"
"Gaming","Guessing what the world thinks, one choice at a time.","","true","false","Guess.best","false","https://t.me/BestGuessBot/Guess_Best/start?startapp=ultra-ULTRA","true","playguessbest","https://guess.best/?referralCode=gq8tk6v&refSource=copy"
"Gaming","Social engagement platform based around mini-games, social interaction, questing, prizing, and more.","","","false","games.fun","false","","false","gamesdotfun","https://games.fun/"
"DeFi","Seamless and efficient crypto trading for everyone.","https://discord.gg/bebop","true","false","Bebop","false","","true","bebop_dex","https://bebop.xyz/"
"Community","Community docs for MegaETH: understand the tech, explore the ecosystem.","","","false","Mega Docs","true","","false","0xSolynor","https://megaeth-co.gitbook.io/mega-docs"
"NFT","A user-friendly platform to create, deploy and manage your NFT collections on MegaETH.","https://discord.gg/Usmgxj2Msk","","false","NFTs2Me","false","https://t.me/nfts2me","false","nfts2me","https://nfts2me.com/"
"Infrastructure","Intent-based, cross-VM bridge enabling fast, seamless asset transfers across EVM, Solana & more.","https://discord.gg/VRWHZwPmbK","true","false","Gasyard","false","","true","gasyardfi",""
"Gaming","MULTIPLE INTELLIGENCE OPERATIVES ARE TRIANGULATING ON YOUR LOCATION. IF YOU DON'T HAVE A PROXY ATTACHED WITH RDP CONNECTION YOU ARE NOW A TARGET.","","true","false","ITS","true","https://t.me/+UQIoB7pviIxjYjFk","false","megatruther","https://www.imaginethesmell.xyz/"
"DeFi","Bolt is a native DEX purpose-built for MegaETH. Better swaps and higher yields, built on real-time rails.","","","false","Bolt","true","","false","bolt_dex",""
"Infrastructure","Decentralized naming solutions for Web3","https://discord.gg/2rrkuqT8pB","","false","ZNS Connect","false","https://t.me/znsconnect","false","ZNSConnect","https://www.znsconnect.io/"
"DeFi","Cross-chain DEX.","https://discord.gg/gasp-xyz","","false","Gasp","false","https://t.me/mgtfi","false","Gasp_xyz","https://www.gasp.xyz/"
"NFT","NFT collection.","","","false","Bad Bunnz","true","","false","badbunnz_",""
"Infrastructure","Modular oracles for DeFi & institutions. Building RedStone Bolt, the fastest oracle, only for MegaETH.","https://discord.gg/PVxBZKFr46","","false","RedStone","false","https://t.me/redstonefinance/","true","redstone_defi","https://redstone.finance/"
"AI","AI agent capable of executing trades across both EVM & Solana chains. Ref: AIKA-924134809","","","false","AikaVerse","false","https://t.me/aikaverse","false","aika_verse","https://aikaswap.xyz/?code=AIKA-924134809"
"Infrastructure","A programmable oracle network with custom data feeds.","https://discord.gg/mYujUXwrMr","","false","Blocksense Network","false","https://t.me/BlocksenseNetwork","false","blocksense_","https://blocksense.network/"
"Infrastructure","VRF, Relay, Functions, smart account abstraction, and more toolkits.","https://discord.gg/ApbA39BKyJ","","false","Gelato","false","https://t.me/gelatonetwork","true","gelatonetwork","https://www.gelato.network/"
"DeFi","Allows LST holders to hedge against underlying price volatility.","https://discord.gg/wX4P9va8Ry","","false","Caddy Finance","false","https://t.me/caddyfi","false","caddyfi","https://caddy.finance/"
"DeFi","Multi-chain security for next-gen dApps.","","","false","Canary Protocol","false","","false","canary_proto","https://www.canaryprotocol.com/"
"DeFi","DEX with deep liquidity using advanced bonding curves.","https://discord.gg/rgrfS7W","","false","Curve","false","https://t.me/curvefi","true","CurveFinance","https://curve.fi/"
"DeFi","Leverage while keeping your collateral completely safe from liquidations.","","","false","Cyclo","false","https://t.me/cyclofinance","false","cyclofinance","https://cyclo.finance/"
"DeFi","Cross-chain swaps.","https://discord.gg/mach","","false","Mach Exchange","false","https://t.me/mach_exchange","true","mach_exchange","https://app.mach.exchange/"
"Infrastructure","Decentralized cross-rollup bridge.","https://discord.gg/FbztTBvnBT","","false","Orbiter Finance","false","","true","Orbiter_Finance","https://www.orbiter.finance/en"
"DeFi","Lending protocol with built-in stableswap engine.","https://discord.gg/pikefinance","","false","Pike Finance","false","https://t.me/pike_finance","false","PikeFinance","https://www.pike.finance/"
"Gaming","The SOCIALFi engine where viral content earns onchain rewards.","","","false","Poster","false","","false","posterdotfun","https://www.poster.fun/"
"DeFi","Your multichain DEX aggregator.","https://discord.gg/7EYzPbWKFQ","","false","Rubic","false","https://t.me/cryptorubic_chat","false","CryptoRubic","https://rubic.exchange/"
"Infrastructure","Manage token vesting, unlocks, airdrops and staking.","","","false","Tokenops","false","","true","TokenOps_xyz","https://tokenops.xyz/"
"DeFi","A spot leverage DEX that allows you to long, short, swap, and earn.","https://discord.gg/wZqzsfnvmh","","false","Wasabi","false","https://t.me/wasabiportal","false","wasabi_protocol","https://wasabi.xyz/"
"DeFi","Track your onchain portfolio. Discover new opportunities.","https://zapper.xyz/discord","","false","Zapper","false","https://t.me/+OE0wMq01sNc5MTMx","false","zapper_fi","https://zapper.xyz/"
"AI","A DeFi AI agent built to optimize DeFi yields.","https://discord.gg/KHchZXmv8Q","","false","Zyfai","false","https://t.me/+wRxgyrGcAz9kMzI0","false","ZyfAI_","https://zyf.ai/"
"NFT","Milady derivative NFT collection representing the Mega Civilization.","","","false","Megalio Civilization","false","","false","megalioeth",""
"Infrastructure","Secure, confidential cross-chain asset transfers across EVM and UTXO chains using MPC and decentralized validators","","","false","Koan","false","","true","koanpay","https://koan.network/"
"NFT","NFT Collection","https://discord.gg/tvb2UUxEwk","","false","Enjoyooors","true","","false","enjoyooors","https://enjoyooors.com"
"Infrastructure","Multi-chain EVM blockchain indexer for querying real-time and historical data","https://discord.gg/Q9qt8gZ2fX","","false","ENVIO","false","https://t.me/+5mI61oZibEM5OGQ8","false","envio_indexer","https://envio.dev/"
"Infrastructure","Liquidity Consensus Layer that allows chains and dApps to access liquidity from anywhere—across all assets, networks, and ecosystems, without bridging.","","","false","Euclid Protocol","false","https://t.me/Euclid_Protocol","false","Euclidprotocol","https://www.euclidprotocol.io/"
"Gaming","Last person to tap, wins.","","","false","Tapout","true","https://t.me/tapout_game","false","tapout_game","https://www.tapout.pro"
"NFT","Turning static NFTs into living, emotionally intelligent AI companions.","","","false","BunniesAI","true","","false","Bunnies_AI","https://bunniesai.tech/"
"Secret","don't worry","","","true","hunch","true","","false","hunchlol","https://hunch.lol"
"NFT","NFT Collection","https://discord.gg/dQWqMbg68J","","false","MegaHeroes","true","","false","MegaheroesHQ","https://www.megaheroes.xyz/"
"NFT","NFT Collection","","","false","MegaRafia","true","","false","MegaRafia",""
"NFT","NFT Collection","","","false","barry","true","","false","badlydrawnbarry",""
"Infrastructure","MTRKR is the first wallet visualizer 100% dedicated to the MegaETH ecosystem.","","","false","MTRKR (MegaTracker)","true","","true","juliencoppola","https://www.mtrkr.xyz/"
"NFT","NFT Collection","https://discord.gg/FaAKE6HA","","false","MegaEth Dogs","true","","false","MegaEth_Dogs",""
"DeFi","Smart savings & social payments on Telegram—earn, spend, and send effortlessly with the next generation of PayFi","","","false","Pebbles","false","https://t.me/+gSMYXFHq0lYzMGY9","false","pebbles_pay","https://www.pebbles.cash/"
"Infrastructure","Authentication, smart wallets, and secure key management into one flexible SDK","","","false","Dynamic","false","","true","dynamic_xyz","https://www.dynamic.xyz"
"Infrastructure","Easily integrate smart accounts and gasless transactions through paymasters into your applications","","","false","Pimlico","false","","true","pimlicoHQ","https://www.pimlico.io"
"Infrastructure","Onboarding system and wallet infrastructure with embedded wallets for email or social logins","","","false","Privy","false","","true","privy_io","https://www.privy.io/"
"Infrastructure","Build Web3 experiences without complexities such as seed phrases, gas, confirmations, and bridging","","","false","ZeroDev","false","","true","zerodev_app","https://zerodev.app/"
"Infrastructure","Unified framework for building web3 apps, games and agents","","","false","Thirdweb","false","","true","thirdweb","https://thirdweb.com/"
"DeFi","The world's first decentralized token-based perpetual options trading platform","","","false","Fufuture","false","","true","fufuture_io","https://www.fufuture.io/"
"Infrastructure","Tools to build user experiences that make digital ownership effortless, intuitive, and secure","","","false","Reown","false","","false","reown_","https://reown.com"
"Infrastructure","Powerful Account & Chain Abstraction development infrastructure","","","false","Etherspot","false","","false","etherspot","https://etherspot.io/"
"Infrastructure","Permissionless interoperability protocol for cross-chain communication","","","false","Hyperlane","false","","true","hyperlane","https://hyperlane.xyz/"
"DeFi","The first perpetuals protocol for yield itself","","","false","Nunchi","false","","false","nunchitrade","https://www.nunchi.trade/"
"Infrastructure","Leading provider of bespoke token launch solutions","","","false","Clique","false","","false","Clique2046","https://clique.tech/"
"Infrastructure","Keep your vaulted NFTs and ERC20s safe by linking wallets together. Claim airdrops, prove token ownership, and more from your hot wallet.","","","false","Delegate","false","","true","delegatedotxyz","https://delegate.xyz/"
"DeFi","The first stablecoin built for Privacy and Compliance","","","false","Mynt","false","","true","myntusd","https://myntusd.com/"
"AI","DeFAI wAIfu Launchpad","","","false","Haifu","false","","true","haifudotfun","https://haifu.fun"
"DeFi","Trade high float, high cap coins","","","false","Standard Protocol","false","","true","standardweb3","https://standardweb3.com/"
"DeFi","Decentralized launchpad","","","false","Fjord Foundry","false","","true","fjordfoundry","https://www.fjordfoundry.com/"
"DeFi","Building rUSDC-mega: Providing scalable stablecoin credit for MegaETH's money markets.","","","false","Reland Network","false","","false","relend_network","https://relend.network/"
"Infrastructure","User-centered analytics platform, designed for ecosystems and dApps that want to engage community through data insights","","","false","Layerhub","false","","true","layerhub","https://layerhub.xyz/"
"Gaming","On-chain football (soccer) player trading game where users buy, sell, and earn from real-time player performance and market dynamics.","","","false","TopStrike","false","","true","TopStrikeIO","https://www.topstrike.io/"
"DeFi","RWA-yield protocol built to unlock superior, risk-adjusted returns on assets that typically don't generate yield like BTC, PAXG, XRP along with stablecoins","","","false","multipli.fi","false","","false","multiplifi","https://multipli.fi/"
"DeFi","Share, Discover, Earn. All on-chain.","","","false","Voistra","true","","false","voistra_","https://voistra.xyz"
"SocialFi","Stop Scrolling For Free","","","false","ApeKult","true","","false","ApeKult","https://apekult.com"
"DeFi","Become Legend in the Arena","","","true","Legend","true","","false","legenddottrade","https://legend.trade"
"DePin","Decentralized mobile internet","","","true","Ubitel","true","","false","ubi_tel","https://ubi.tel"
"Payments","Gamified payments app","","","true","Blitzo","true","","false","blitzo_xyz","https://blitzo.xyz"
"DePin","Real-time motion graph for the future of movement","","","true","Cilium","true","","false","Cilium_xyz","https://cilium.xyz"
"GambleFi","Trust the code. Be the house.","","","true","Dorado","true","","false","CasinoDorado","https://dorado.casino"
"NFT","NFT Collection","","","false","Blobz","true","","false","MegaBlobz",""
"DeFi","Call any price. Win from any move.","","","true","Rocket","true","","false","userocket_app","https://usrerocket.app"
"DeFi","Emerging capital markets","","","true","Brix","true","https://t.me/BrixDotMoney","false","brix_money","https://brix.money"
"DeFi","Credit layer for real‑time markets","","","true","Benchmark","true","","false","BenchmarkFi","https://benchmark.finance"
"SocialFi","Cult formation venue","","","true","Kumbaya","true","","false","kumbaya_xyz","https://kumbaya.xyz"
"Gaming","Build your team and battle it out","","","true","Stomp","true","","false","stompdotgg","https://stomp.gg"
"Gaming","ARG game","","","false","Void.Eth","true","","false","voidoteth",""
"NFT","NFT collection","","","false","Glitchy Bunnies","true","","false","404bunnies",""
